Localidade,Código,Ano,Assinatura Celular,Usuários de Internet(%),Número de Usuários de Internet,Assinatura de Banda Larga,Anos_Escola_Ajustados_Aprendizagem,Razão bruta de matrícula combinada para educação terciária - Feminino,Razão bruta de matrícula combinada para educação terciária - Masculino,"Taxa líquida de matrícula combinada total, secundário, masculino","Taxa líquida de matrícula combinada total, secundário, feminino","Taxa líquida de matrícula combinada total, primário, feminino","Taxa líquida de matrícula combinada total, primário, masculino"
South Africa,ZAF,2020,161.7965851,70.0,41161350,2.197076082,5.603404,29.60361,18.93135,,,,
South Korea,KOR,2010,102.4656143,83.69999695,40856510,34.70390701,12.246545,86.81078,116.74681,95.07951,94.7059,,
South Korea,KOR,2017,124.5854263,95.06941986,48971817,41.48220062,12.24,82.8425,104.751,98.19101,97.80743,97.15902,97.34545
South Korea,KOR,2018,129.6727905,96.02285767,49621636,41.59692764,12.247689,84.94791,105.81173,,,,
South Korea,KOR,2020,137.5361786,96.50505829,50032746,43.54893112,11.684028,92.7929,111.35395,,,,
South Sudan,SSD,2018,17.45870781,4.800000191,498976,0.00182217,2.5113463,0.34375,1.15057,,,,
Spain,ESP,2010,109.4999084,65.80000305,30644888,22.69793701,10.266474,84.16237,68.09579,89.61511,92.20098,,
Spain,ESP,2017,112.5612488,84.60224915,39411254,31.44484711,10.78,97.02816,81.05325,96.05046,97.75094,97.64003,96.92663
Spain,ESP,2018,115.9942169,86.10723877,40291337,32.50380325,10.662965,99.96835,82.66291,,,,
Spain,ESP,2020,119.0203629,93.20565033,44145745,34.62427139,10.514696,106.38672,86.0431,,,,
Sri Lanka,LKA,2017,133.4676208,21.29999924,4580952,5.776704788,8.3,22.82258,15.07076,87.65647,90.43005,,
Sri Lanka,LKA,2018,142.6507263,26.0,5610985,7.274625301,8.374124,23.44222,15.7993,89.82158,92.25549,,
Sri Lanka,LKA,2020,138.8414459,35.0,7600277,8.319755554,8.462184,26.67253,16.52597,,,,
Sudan,SDN,2017,70.18317413,18.60000038,7566447,0.074850425,4.42,,,,,58.91671,61.06519
Sweden,SWE,2010,117.0629425,90.0,8443550,31.94338036,11.119785,89.57827,58.48075,93.05355,93.08986,,
Sweden,SWE,2017,126.3952026,93.00626373,9354748,38.91849899,11.67,82.07651,52.72135,,,,
Sweden,SWE,2018,126.6219482,89.2469635,9069544,39.53300476,11.709058,89.7793,56.14541,,,,
Sweden,SWE,2020,126.6611023,94.53942871,9802763,41.38493347,11.580874,104.97617,65.28606,,,,
Switzerland,CHE,2010,123.5056763,83.90000153,6563031,37.31128693,11.223486,52.65946,53.21018,84.93788,82.3699,93.76425,94.15141
Switzerland,CHE,2017,131.1359406,89.6861496,7579994,46.31990051,11.13,60.32979,58.82378,86.66088,83.93147,,
Switzerland,CHE,2018,126.5434494,91.80000305,7816248,45.55541992,11.112429,62.31203,60.47684,,,,
Switzerland,CHE,2020,127.306694,94.19999695,8137569,46.54435349,10.933773,67.2177,63.51679,,,,
Tajikistan,TJK,2017,111.5281677,21.95999908,1960046,0.067565531,7.67,26.85371,35.47167,,,,
Tanzania,TZA,2017,73.0947876,15.99999905,9002726,1.396745801,4.82,,,24.10939,25.00132,85.18502,82.00978
Tanzania,TZA,2018,77.2413559,19.0,11037184,1.52935791,4.474151,,,25.79293,27.31307,82.84537,79.84613
